antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'yogurt'}),frozenset({'whole milk'}),0.08661417322834646,0.15473065866766655,0.010998625171853519,0.126984126984127,0.8206785137318255,1.0,-0.0024032429017238986,0.968217609162491,-0.19304347826086954,0.04774823657080846,-0.032825669081768434,0.09903325896863863
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.12148481439820022,0.15473065866766655,0.014748156480439945,0.12139917695473251,0.7845838568778795,1.0,-0.004049268869512795,0.9620629973946464,-0.23811177248677248,0.05640535372848947,-0.039432971341887516,0.10835710059368289
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.11073615798025246,0.15473065866766655,0.01262342207224097,0.11399548532731378,0.7367349580806442,1.0,-0.004510856590370272,0.9540237406629903,-0.28665094274068814,0.04992585269401878,-0.04819194468374428,0.09778934201745335
frozenset({'soda'}),frozenset({'whole milk'}),0.09623797025371829,0.15473065866766655,0.010123734533183352,0.10519480519480519,0.6798575414892054,1.0,-0.00476722999301378,0.9446406281943349,-0.34255519761137754,0.04203425012973534,-0.05860363206215641,0.08531145752470469
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.15473065866766655,0.12148481439820022,0.014748156480439945,0.09531502423263327,0.7845838568778795,1.0,-0.004049268869512795,0.971073035513418,-0.24518090294461486,0.05640535372848947,-0.02978865999640079,0.10835710059368289
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.11073615798025246,0.12148481439820022,0.010248718910136232,0.09255079006772009,0.7618301145389181,1.0,-0.003204042689264516,0.9681149930885504,-0.26011362771704666,0.04617117117117117,-0.03293514421228789,0.08845646499270779
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.12148481439820022,0.11073615798025246,0.010248718910136232,0.08436213991769548,0.7618301145389182,1.0,-0.003204042689264516,0.9711960162283085,-0.26246084392850555,0.04617117117117117,-0.029658259805835342,0.08845646499270779
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.15473065866766655,0.11073615798025246,0.01262342207224097,0.0815831987075929,0.7367349580806443,1.0,-0.004510856590370272,0.9682573759194788,-0.29713735941471237,0.04992585269401878,-0.032783250476535374,0.09778934201745335
