method,n_clusters,fowlkes_mallows,silhouette
kmeans_random,4,0.7349834822524989,0.623491644859314
kmeans_kmeans++,4,0.7349834822524989,0.623491644859314
bisecting_kmeans,4,0.7393563802100591,0.6253800988197327
spectral_clustering,2,0.49791440376636914,0.41979309916496277
dbscan,4,0.4921421520659225,-0.643215000629425
agglomerative_single,4,0.49627580130142585,0.17369933426380157
agglomerative_complete,4,0.7259877784167296,0.6141987442970276
agglomerative_average,4,0.7464833767207778,0.6067718267440796
agglomerative_ward,4,0.7120740280997198,0.6080366969108582
